"Analysis Variable","Best Cumulative Lift","Cumulative Lift","Best Cumulative Response Percentage","Cumulative Response Percentage","Best Cumulative Captured Response Percentage","Cumulative Captured Response Percentage","Data Role","Depth","Event","Best Gain","Gain","Best Lift","Lift","Best Number of Events","Number of Events","Number of Observations","Partition Indicator","Best Response Percentage","Response Percentage","Best Captured Response Percentage","Captured Response Percentage","Target Name","Value","Formatted Partition"
"P_fraudulent1","","","","","0","0","VALIDATE","0","           1","","","","","0","0","0","0","","","0","0","fraudulent","0","           0"
"P_fraudulent1","20","6.1189","96.6543","29.5708","100","30.5944","VALIDATE","5","           1","19","5.1189","20","6.1189","260","79.5455","269","0","96.6543","29.5708","100","30.5944","fraudulent","0.1384","           0"
"P_fraudulent1","10","4.4245","48.3271","21.3824","100","44.2451","VALIDATE","10","           1","9","3.4245","0","2.7301","0","35.4917","269","0","0","13.1939","0","13.6507","fraudulent","0.1366","           0"
"P_fraudulent1","6.6667","3.8721","32.2181","18.7126","100","58.0809","VALIDATE","15","           1","5.6667","2.8721","0","2.7672","0","35.9733","269","0","0","13.3730","0","13.8359","fraudulent","0.1366","           0"
"P_fraudulent1","5","3.7619","24.1636","18.1800","100","75.2372","VALIDATE","20","           1","4","2.7619","0","3.4313","0","44.6063","269","0","0","16.5823","0","17.1563","fraudulent","0.1043","           0"
"P_fraudulent1","4","3.2256","19.3309","15.5885","100","80.6405","VALIDATE","25","           1","3","2.2256","0","1.0807","0","14.0486","269","0","0","5.2225","0","5.4033","fraudulent","0.0591","           0"
"P_fraudulent1","3.3333","2.7821","16.1290","13.4615","100","83.4615","VALIDATE","30","           1","2.3333","1.7821","0","0.5642","0","7.3348","267","0","0","2.7471","0","2.8211","fraudulent","0.0334","           0"
"P_fraudulent1","2.8571","2.4315","13.8078","11.7507","100","85.1025","VALIDATE","35","           1","1.8571","1.4315","0","0.3282","0","4.2666","271","0","0","1.5744","0","1.6410","fraudulent","0.0184","           0"
"P_fraudulent1","2.5000","2.1724","12.0818","10.4988","100","86.8976","VALIDATE","40","           1","1.5000","1.1724","0","0.3590","0","4.6672","269","0","0","1.7350","0","1.7951","fraudulent","0.0184","           0"
"P_fraudulent1","2.2222","1.9709","10.7394","9.5250","100","88.6927","VALIDATE","45","           1","1.2222","0.9709","0","0.3590","0","4.6672","269","0","0","1.7350","0","1.7951","fraudulent","0.0184","           0"
"P_fraudulent1","2","1.8098","9.6654","8.7460","100","90.4877","VALIDATE","50","           1","1","0.8098","0","0.3590","0","4.6672","269","0","0","1.7350","0","1.7951","fraudulent","0.0184","           0"
"P_fraudulent1","1.8182","1.6779","8.7868","8.1087","100","92.2828","VALIDATE","55","           1","0.8182","0.6779","0","0.3590","0","4.6672","269","0","0","1.7350","0","1.7951","fraudulent","0.0184","           0"
"P_fraudulent1","1.6667","1.5680","8.0545","7.5775","100","94.0779","VALIDATE","60","           1","0.6667","0.5680","0","0.3590","0","4.6672","269","0","0","1.7350","0","1.7951","fraudulent","0.0184","           0"
"P_fraudulent1","1.5385","1.4750","7.4349","7.1281","100","95.8730","VALIDATE","65","           1","0.5385","0.4750","0","0.3590","0","4.6672","269","0","0","1.7350","0","1.7951","fraudulent","0.0184","           0"
"P_fraudulent1","1.4286","1.3938","6.9039","6.7359","100","97.5669","VALIDATE","70","           1","0.4286","0.3938","0","0.3388","0","4.4042","269","0","0","1.6372","0","1.6939","fraudulent","0.0125","           0"
"P_fraudulent1","1.3333","1.3123","6.4436","6.3421","100","98.4247","VALIDATE","75","           1","0.3333","0.3123","0","0.1716","0","2.2304","269","0","0","0.8292","0","0.8579","fraudulent","0.0123","           0"
"P_fraudulent1","1.2500","1.2308","6.0507","5.9576","100","98.4615","VALIDATE","80","           1","0.2500","0.2308","0","0.0074","0","0.0957","262","0","0","0.0365","0","0.0368","fraudulent","0.0045","           0"
"P_fraudulent1","1.1765","1.1674","5.6855","5.6418","100","99.2308","VALIDATE","85","           1","0.1765","0.1674","0","0.1538","0","2","276","0","0","0.7246","0","0.7692","fraudulent","0.0038","           0"
"P_fraudulent1","1.1111","1.1026","5.3697","5.3284","100","99.2308","VALIDATE","90","           1","0.1111","0.1026","0","0","0","0","269","0","0","0","0","0","fraudulent","0.0023","           0"
"P_fraudulent1","1.0526","1.0511","5.0871","5.0796","100","99.8529","VALIDATE","95","           1","0.0526","0.0511","0","0.1244","0","1.6176","269","0","0","0.6014","0","0.6222","fraudulent","0.0018","           0"
"P_fraudulent1","1","1","4.8471","4.8471","100","100","VALIDATE","100","           1","0","0.0000","0","0.0294","0","0.3824","253","0","0","0.1511","0","0.1471","fraudulent","0","           0"
"P_fraudulent1","","","","","0","0","TRAIN","0","           1","","","","","0","0","0","1","","","0","0","fraudulent","0","           1"
"P_fraudulent1","20","6.4967","96.6480","31.3946","100","32.4834","TRAIN","5","           1","19","5.4967","20","6.4967","519","168.5890","537","1","96.6480","31.3946","100","32.4834","fraudulent","0.1366","           1"
"P_fraudulent1","10","4.6582","48.3240","22.5104","100","46.5822","TRAIN","10","           1","9","3.6582","0","2.8198","0","73.1727","537","1","0","13.6262","0","14.0988","fraudulent","0.1366","           1"
"P_fraudulent1","6.6667","4.0454","32.2160","19.5490","100","60.6810","TRAIN","15","           1","5.6667","3.0454","0","2.8198","0","73.1727","537","1","0","13.6262","0","14.0988","fraudulent","0.1366","           1"
"P_fraudulent1","5","3.6611","24.1620","17.6921","100","73.2227","TRAIN","20","           1","4","2.6611","0","2.5083","0","65.0912","537","1","0","12.1213","0","12.5417","fraudulent","0.0849","           1"
"P_fraudulent1","4","3.1700","19.3296","15.3188","100","79.2502","TRAIN","25","           1","3","2.1700","0","1.2055","0","31.2829","537","1","0","5.8255","0","6.0275","fraudulent","0.0591","           1"
"P_fraudulent1","3.3333","2.7783","16.1080","13.4260","100","83.3499","TRAIN","30","           1","2.3333","1.7783","0","0.8199","0","21.2776","537","1","0","3.9623","0","4.0997","fraudulent","0.0334","           1"
"P_fraudulent1","2.8571","2.4422","13.8069","11.8018","100","85.4779","TRAIN","35","           1","1.8571","1.4422","0","0.4256","0","11.0440","537","1","0","2.0566","0","2.1279","fraudulent","0.0184","           1"
"P_fraudulent1","2.5000","2.1861","12.0810","10.5642","100","87.4444","TRAIN","40","           1","1.5000","1.1861","0","0.3933","0","10.2064","537","1","0","1.9006","0","1.9665","fraudulent","0.0184","           1"
"P_fraudulent1","2.2222","1.9869","10.7387","9.6015","100","89.4110","TRAIN","45","           1","1.2222","0.9869","0","0.3933","0","10.2064","537","1","0","1.9006","0","1.9665","fraudulent","0.0184","           1"
"P_fraudulent1","2","1.8276","9.6648","8.8315","100","91.3775","TRAIN","50","           1","1","0.8276","0","0.3933","0","10.2064","537","1","0","1.9006","0","1.9665","fraudulent","0.0184","           1"
"P_fraudulent1","1.8182","1.6972","8.7862","8.2014","100","93.3440","TRAIN","55","           1","0.8182","0.6972","0","0.3933","0","10.2064","537","1","0","1.9006","0","1.9665","fraudulent","0.0184","           1"
"P_fraudulent1","1.6667","1.5885","8.0540","7.6763","100","95.3106","TRAIN","60","           1","0.6667","0.5885","0","0.3933","0","10.2064","537","1","0","1.9006","0","1.9665","fraudulent","0.0184","           1"
"P_fraudulent1","1.5385","1.4966","7.4345","7.2320","100","97.2771","TRAIN","65","           1","0.5385","0.4966","0","0.3933","0","10.2064","537","1","0","1.9006","0","1.9665","fraudulent","0.0184","           1"
"P_fraudulent1","1.4286","1.4079","6.9034","6.8035","100","98.5528","TRAIN","70","           1","0.4286","0.4079","0","0.2551","0","6.6205","537","1","0","1.2329","0","1.2756","fraudulent","0.0123","           1"
"P_fraudulent1","1.3333","1.3256","6.4496","6.4123","100","99.4220","TRAIN","75","           1","0.3333","0.3256","0","0.1738","0","4.5112","529","1","0","0.8528","0","0.8692","fraudulent","0.0096","           1"
"P_fraudulent1","1.2500","1.2453","6.0405","6.0179","100","99.6260","TRAIN","80","           1","0.2500","0.2453","0","0.0408","0","1.0590","545","1","0","0.1943","0","0.2040","fraudulent","0.0041","           1"
"P_fraudulent1","1.1765","1.1742","5.6852","5.6742","100","99.8073","TRAIN","85","           1","0.1765","0.1742","0","0.0363","0","0.9410","537","1","0","0.1752","0","0.1813","fraudulent","0.0038","           1"
"P_fraudulent1","1.1111","1.1101","5.3693","5.3646","100","99.9117","TRAIN","90","           1","0.1111","0.1101","0","0.0209","0","0.5415","537","1","0","0.1008","0","0.1043","fraudulent","0.0023","           1"
"P_fraudulent1","1.0526","1.0526","5.0867","5.0867","100","100","TRAIN","95","           1","0.0526","0.0526","0","0.0177","0","0.4585","537","1","0","0.0854","0","0.0883","fraudulent","0.0018","           1"
"P_fraudulent1","1","1","4.8378","4.8378","100","100","TRAIN","100","           1","0","0.0000","0","0","0","0","525","1","0","0","0","0","fraudulent","0","           1"
"P_fraudulent1","","","","","0","0","TEST","0","           1","","","","","0","0","0","2","","","0","0","fraudulent","0","           2"
"P_fraudulent1","20","6.5517","96.6667","31.6667","100","32.7586","TEST","5","           1","19","5.5517","20","6.5517","87","28.5000","90","2","96.6667","31.6667","100","32.7586","fraudulent","0.1654","           2"
"P_fraudulent1","10","4.4890","48.3333","21.6968","100","44.8900","TEST","10","           1","9","3.4890","0","2.4263","0","10.5543","90","2","0","11.7270","0","12.1314","fraudulent","0.1366","           2"
"P_fraudulent1","6.6667","3.8976","32.2222","18.8386","100","58.4647","TEST","15","           1","5.6667","2.8976","0","2.7149","0","11.8100","90","2","0","13.1222","0","13.5747","fraudulent","0.1366","           2"
"P_fraudulent1","5","3.3908","24.1667","16.3889","100","67.8161","TEST","20","           1","4","2.3908","0","1.8703","0","8.1357","90","2","0","9.0397","0","9.3514","fraudulent","0.1110","           2"
"P_fraudulent1","4","2.9476","19.3333","14.2469","100","73.6909","TEST","25","           1","3","1.9476","0","1.1750","0","5.1111","90","2","0","5.6790","0","5.8748","fraudulent","0.0591","           2"
"P_fraudulent1","3.3333","2.6820","16.1111","12.9630","100","80.4598","TEST","30","           1","2.3333","1.6820","0","1.3538","0","5.8889","90","2","0","6.5432","0","6.7688","fraudulent","0.0368","           2"
"P_fraudulent1","2.8571","2.3974","13.8095","11.5873","100","83.9080","TEST","35","           1","1.8571","1.3974","0","0.6897","0","3","90","2","0","3.3333","0","3.4483","fraudulent","0.0201","           2"
"P_fraudulent1","2.5000","2.1495","12.0833","10.3891","100","85.9788","TEST","40","           1","1.5000","1.1495","0","0.4142","0","1.8016","90","2","0","2.0017","0","2.0708","fraudulent","0.0184","           2"
"P_fraudulent1","2.2222","1.9577","10.7407","9.4622","100","88.0967","TEST","45","           1","1.2222","0.9577","0","0.4236","0","1.8425","90","2","0","2.0472","0","2.1178","fraudulent","0.0184","           2"
"P_fraudulent1","2","1.8043","9.6667","8.7207","100","90.2145","TEST","50","           1","1","0.8043","0","0.4236","0","1.8425","90","2","0","2.0472","0","2.1178","fraudulent","0.0184","           2"
"P_fraudulent1","1.8182","1.6788","8.7879","8.1141","100","92.3323","TEST","55","           1","0.8182","0.6788","0","0.4236","0","1.8425","90","2","0","2.0472","0","2.1178","fraudulent","0.0184","           2"
"P_fraudulent1","1.6667","1.5742","8.0556","7.6085","100","94.4502","TEST","60","           1","0.6667","0.5742","0","0.4236","0","1.8425","90","2","0","2.0472","0","2.1178","fraudulent","0.0184","           2"
"P_fraudulent1","1.5385","1.4857","7.4359","7.1807","100","96.5680","TEST","65","           1","0.5385","0.4857","0","0.4236","0","1.8425","90","2","0","2.0472","0","2.1178","fraudulent","0.0184","           2"
"P_fraudulent1","1.4286","1.4098","6.9048","6.8140","100","98.6859","TEST","70","           1","0.4286","0.4098","0","0.4236","0","1.8425","90","2","0","2.0472","0","2.1178","fraudulent","0.0184","           2"
"P_fraudulent1","1.3333","1.3333","6.4444","6.4444","100","100","TEST","75","           1","0.3333","0.3333","0","0.2628","0","1.1433","90","2","0","1.2703","0","1.3141","fraudulent","0.0123","           2"
"P_fraudulent1","1.2500","1.2500","6.0459","6.0459","100","100","TEST","80","           1","0.2500","0.2500","0","0","0","0","89","2","0","0","0","0","fraudulent","0.0064","           2"
"P_fraudulent1","1.1765","1.1765","5.6863","5.6863","100","100","TEST","85","           1","0.1765","0.1765","0","0","0","0","91","2","0","0","0","0","fraudulent","0.0038","           2"
"P_fraudulent1","1.1111","1.1111","5.3704","5.3704","100","100","TEST","90","           1","0.1111","0.1111","0","0","0","0","90","2","0","0","0","0","fraudulent","0.0023","           2"
"P_fraudulent1","1.0526","1.0526","5.1056","5.1056","100","100","TEST","95","           1","0.0526","0.0526","0","0","0","0","84","2","0","0","0","0","fraudulent","0.0018","           2"
"P_fraudulent1","1","1","4.8658","4.8658","100","100","TEST","100","           1","0","0.0000","0","0","0","0","84","2","0","0","0","0","fraudulent","0.0000","           2"
